username,password,email,firstName,lastName,birthday,about
20130017,20130017,20130017@student.hust.edu.vn,Cao Kỳ,Biên,1994-12-28,Class: Kỹ thuật sinh học / Công nghệ sinh học \nInstitute: Viện Công nghệ Sinh học và công nghệ Thực phẩm
20130018,20130018,20130018@student.hust.edu.vn,Thân Hạ,Nhân,1993-03-13,Class: Kỹ thuật cơ khí \nInstitute: Viện cơ khí
20130019,20130019,20130019@student.hust.edu.vn,Khâu Thiện,Đàm,1993-07-05,Class: Kỹ thuật cơ điện tử \nInstitute: Viện cơ khí
20130020,20130020,20130020@student.hust.edu.vn,Lô Truyền,Hứa,1994-02-06,Class: Kỹ thuật điện tử - viễn thông \nInstitute: Viện Điện tử - Viễn thông
20130021,20130021,20130021@student.hust.edu.vn,Đồng Phúc,Vạn,1995-04-27,Class: CN-Công nghệ thông tin \nInstitute: Viện Công nghệ Thông tin và Truyền thông
20130022,20130022,20130022@student.hust.edu.vn,Cát Hàn,Giáp,1995-05-01,Class: Hệ thống thông tin quản lý \nInstitute: Viện Toán ứng dụng và Tin học
20130023,20130023,20130023@student.hust.edu.vn,Mai Sư,Điềm,1994-11-15,Class: Kỹ thuật cơ điện tử \nInstitute: Viện cơ khí
20130024,20130024,20130024@student.hust.edu.vn,Tiêu Lê,Duyên,1994-02-15,Class: Quản lý công nghiệp \nInstitute: Viện Kinh tế & Quản lý
20130025,20130025,20130025@student.hust.edu.vn,Tăng Thức,Truyền,1993-10-15,Class: Kỹ thuật tàu thủy \nInstitute: Viện Cơ khí Động lực
20130026,20130026,20130026@student.hust.edu.vn,Đan Hàn,Trị,1995-10-25,Class: Khoa học máy tính \nInstitute: Viện Công nghệ Thông tin và Truyền thông
20130027,20130027,20130027@student.hust.edu.vn,Giang Doanh,Mộng,1993-01-24,Class: Hệ thống thông tin \nInstitute: Viện Công nghệ Thông tin và Truyền thông
20130028,20130028,20130028@student.hust.edu.vn,Dã Thị,Chính,1993-09-04,Class: Vật lý kỹ thuật \nInstitute: Viện Vật lý kỹ thuật
20130029,20130029,20130029@student.hust.edu.vn,Cát Điệp,Hạnh,1995-08-30,Class: Khoa học máy tính \nInstitute: Viện Công nghệ Thông tin và Truyền thông
20130030,20130030,20130030@student.hust.edu.vn,Bế Điềm,Biên,1993-11-22,Class: Quản lý công nghiệp \nInstitute: Viện Kinh tế & Quản lý
20130031,20130031,20130031@student.hust.edu.vn,Khưu Dũng,Chỉnh,1994-01-23,Class: CN-Công nghệ kỹ thuật điều khiển và tự động hóa \nInstitute: Viện Điện
20130032,20130032,20130032@student.hust.edu.vn,Hình Hoàn,Ly,1993-06-18,Class: Hệ thống thông tin \nInstitute: Viện Công nghệ Thông tin và Truyền thông
20130033,20130033,20130033@student.hust.edu.vn,Vương Gia,Trà,1993-03-19,Class: Truyền thông và mạng máy tính \nInstitute: Viện Công nghệ Thông tin và Truyền thông
20130034,20130034,20130034@student.hust.edu.vn,Điền Dương,Sơn,1994-08-18,Class: Kỹ thuật ô tô \nInstitute: Viện Cơ khí Động lực
20130035,20130035,20130035@student.hust.edu.vn,Thân Bằng,Tú,1995-03-24,Class: Kỹ thuật hóa học \nInstitute: Viện Kỹ thuật Hoá học
20130036,20130036,20130036@student.hust.edu.vn,Đơn Tôn,Sẩm,1994-08-30,Class: CN-Công nghệ kỹ thuật ô tô \nInstitute: Viện Cơ khí Động lực
20130037,20130037,20130037@student.hust.edu.vn,Lô Hiền,Nhân,1995-09-13,Class: CN-Công nghệ kỹ thuật điều khiển và tự động hóa \nInstitute: Viện Điện
20130038,20130038,20130038@student.hust.edu.vn,Kim Thích,Tín,1994-06-25,Class: Kinh tế công nghiệp \nInstitute: Viện Kinh tế & Quản lý
20130039,20130039,20130039@student.hust.edu.vn,Cù Kỳ,Thủy,1995-05-14,Class: Kỹ thuật ô tô \nInstitute: Viện Cơ khí Động lực
20130040,20130040,20130040@student.hust.edu.vn,Mã Chân,Đích,1995-12-04,Class: CN-Công nghệ kỹ thuật điện tử - viễn thông \nInstitute: Viện Điện tử - Viễn thông
20130041,20130041,20130041@student.hust.edu.vn,Khúc Sâm,Thừa,1994-01-14,Class: Hệ thống thông tin quản lý \nInstitute: Viện Toán ứng dụng và Tin học
20130042,20130042,20130042@student.hust.edu.vn,Hình Thành,San,1993-09-14,Class: Kỹ thuật in \nInstitute: Viện Kỹ thuật Hoá học
20130043,20130043,20130043@student.hust.edu.vn,Nhiệm Liên,Hân,1994-05-23,Class: Kế toán \nInstitute: Viện Kinh tế & Quản lý
20130044,20130044,20130044@student.hust.edu.vn,Phương La,Phan,1995-07-26,Class: CN-Công nghệ chế tạo máy \nInstitute: Viện cơ khí
20130045,20130045,20130045@student.hust.edu.vn,Lữ Thu,Luân,1993-04-25,Class: Kỹ thuật hóa học \nInstitute: Viện Kỹ thuật Hoá học
20130046,20130046,20130046@student.hust.edu.vn,Nghiêm Đô,Nhạn,1993-06-06,Class: Kỹ thuật dệt \nInstitute: Viện Dệt may - Da giầy và Thời trang
20130047,20130047,20130047@student.hust.edu.vn,Thái Sẩm,Dũng,1994-06-15,Class: CN-Công nghệ kỹ thuật điện \nInstitute: Viện Điện
20130048,20130048,20130048@student.hust.edu.vn,Cầm Điệp,Bùi,1995-03-22,Class: CN-Công nghệ kỹ thuật ô tô \nInstitute: Viện Cơ khí Động lực
20130049,20130049,20130049@student.hust.edu.vn,Trình Hoan,Quảng,1994-02-04,Class: Công nghệ may \nInstitute: Viện Dệt may - Da giầy và Thời trang
20130050,20130050,20130050@student.hust.edu.vn,Ngụy Chành,Sương,1994-08-01,Class: Tài chính-Ngân hàng \nInstitute: Viện Kinh tế & Quản lý
20130051,20130051,20130051@student.hust.edu.vn,Cái Tử,Loan,1994-08-19,Class: Kỹ thuật thực phẩm \nInstitute: Viện Công nghệ Sinh học và công nghệ Thực phẩm
20130052,20130052,20130052@student.hust.edu.vn,Cự Lưu,Hóa,1995-11-14,Class: Quản trị kinh doanh \nInstitute: Viện Kinh tế & Quản lý
20130053,20130053,20130053@student.hust.edu.vn,Dã Tùng,Hương,1994-02-14,Class: CN-Công nghệ kỹ thuật hóa học \nInstitute: Viện Kỹ thuật Hoá học
20130054,20130054,20130054@student.hust.edu.vn,Lại Hiếu,Dư,1994-12-08,Class: Toán-Tin \nInstitute: Viện Toán ứng dụng và Tin học
20130055,20130055,20130055@student.hust.edu.vn,Chung Hiền,Châu,1994-09-22,Class: CN-Công nghệ kỹ thuật điện \nInstitute: Viện Điện
20130056,20130056,20130056@student.hust.edu.vn,Nhậm Tịnh,Tai,1995-11-05,Class: Tiếng Anh KHKT và công nghệ \nInstitute: Viện Ngoại ngữ
20130057,20130057,20130057@student.hust.edu.vn,Bảo Nhiếp,Trung,1995-02-21,Class: CN-Công nghệ thông tin \nInstitute: Viện Công nghệ Thông tin và Truyền thông
20130058,20130058,20130058@student.hust.edu.vn,Đào Sẩm,Mẫn,1993-09-21,Class: CN-Công nghệ kỹ thuật điện \nInstitute: Viện Điện
20130059,20130059,20130059@student.hust.edu.vn,Đơn Tá,Tượng,1994-08-18,Class: CN-Công nghệ thực phẩm \nInstitute: Viện Công nghệ Sinh học và công nghệ Thực phẩm
20130060,20130060,20130060@student.hust.edu.vn,Giả Phụng,Tuyên,1994-05-04,Class: Quản lý công nghiệp \nInstitute: Viện Kinh tế & Quản lý
20130061,20130061,20130061@student.hust.edu.vn,Ông Kha,Mạch,1994-01-06,Class: Kỹ thuật tàu thủy \nInstitute: Viện Cơ khí Động lực
20130062,20130062,20130062@student.hust.edu.vn,Phi Đồng,Như,1995-03-03,Class: Kỹ thuật vật liệu \nInstitute: Viện Khoa học và Kỹ thuật Vật liệu
20130063,20130063,20130063@student.hust.edu.vn,Cung Văn,Huynh,1995-05-16,Class: Kỹ thuật điện \nInstitute: Viện Điện
20130064,20130064,20130064@student.hust.edu.vn,Tạ Hoàng,Hứa,1995-06-02,Class: Tài chính-Ngân hàng \nInstitute: Viện Kinh tế & Quản lý
20130065,20130065,20130065@student.hust.edu.vn,Quản Nga,Doãn,1995-08-14,Class: CN-Công nghệ chế tạo máy \nInstitute: Viện cơ khí
20130066,20130066,20130066@student.hust.edu.vn,Ca Tân,Vạn,1994-10-06,Class: Quản lý công nghiệp \nInstitute: Viện Kinh tế & Quản lý
20130067,20130067,20130067@student.hust.edu.vn,Khuất Trường,Trường,1995-12-17,Class: Kế toán \nInstitute: Viện Kinh tế & Quản lý
20130068,20130068,20130068@student.hust.edu.vn,Cung Đích,Đằng,1993-12-06,Class: Kỹ thuật máy tính \nInstitute: Viện Công nghệ Thông tin và Truyền thông
20130069,20130069,20130069@student.hust.edu.vn,Thi Lân,Quy,1994-12-25,Class: CN-Công nghệ kỹ thuật hóa học \nInstitute: Viện Kỹ thuật Hoá học
20130070,20130070,20130070@student.hust.edu.vn,Dã Đinh,Danh,1994-10-19,Class: Quản lý công nghiệp \nInstitute: Viện Kinh tế & Quản lý
20130071,20130071,20130071@student.hust.edu.vn,Chử Quyên,Quách,1994-04-26,Class: Kế toán \nInstitute: Viện Kinh tế & Quản lý
20130072,20130072,20130072@student.hust.edu.vn,Nông Phan,Đăng,1993-07-06,Class: CN-Công nghệ thực phẩm \nInstitute: Viện Công nghệ Sinh học và công nghệ Thực phẩm
20130073,20130073,20130073@student.hust.edu.vn,Lục Thủy,Tân,1993-10-30,Class: Tiếng Anh chuyên nghiệp quốc tế \nInstitute: Viện Ngoại ngữ
20130074,20130074,20130074@student.hust.edu.vn,Tôn Tá,Tuyền,1993-08-01,Class: Kỹ thuật dệt \nInstitute: Viện Dệt may - Da giầy và Thời trang
20130075,20130075,20130075@student.hust.edu.vn,Khâu Hạnh,Mạch,1993-01-23,Class: Vật lý kỹ thuật \nInstitute: Viện Vật lý kỹ thuật
20130076,20130076,20130076@student.hust.edu.vn,Trương Tuất,Hiếu,1994-08-14,Class: CN-Công nghệ thực phẩm \nInstitute: Viện Công nghệ Sinh học và công nghệ Thực phẩm
20130077,20130077,20130077@student.hust.edu.vn,Cù Thi,Trường,1993-12-09,Class: CN-Công nghệ kỹ thuật điện \nInstitute: Viện Điện
20130078,20130078,20130078@student.hust.edu.vn,Vương Hiển,Nhiếp,1995-04-23,Class: Quản lý công nghiệp \nInstitute: Viện Kinh tế & Quản lý
20130079,20130079,20130079@student.hust.edu.vn,Cự Nguyện,Phụng,1993-10-23,Class: Khoa học máy tính \nInstitute: Viện Công nghệ Thông tin và Truyền thông
20130080,20130080,20130080@student.hust.edu.vn,Bàng Nữ,Khiểm,1993-05-12,Class: Truyền thông và mạng máy tính \nInstitute: Viện Công nghệ Thông tin và Truyền thông
20130081,20130081,20130081@student.hust.edu.vn,Kim Năm,Thiền,1994-05-12,Class: Sư phạm kỹ thuật công nghiệp \nInstitute: Viện Sư phạm Kỹ thuật
20130082,20130082,20130082@student.hust.edu.vn,Cam Tượng,Long,1993-11-04,Class: CN-Công nghệ kỹ thuật ô tô \nInstitute: Viện Cơ khí Động lực
20130083,20130083,20130083@student.hust.edu.vn,Hạ Long,Khuyên,1995-08-01,Class: Kỹ thuật cơ khí \nInstitute: Viện cơ khí
20130084,20130084,20130084@student.hust.edu.vn,Lữ Duyên,Mơ,1994-01-29,Class: Kỹ thuật phần mềm \nInstitute: Viện Công nghệ Thông tin và Truyền thông
20130085,20130085,20130085@student.hust.edu.vn,Nhiệm Hiên,Nhiếp,1995-04-05,Class: Khoa học máy tính \nInstitute: Viện Công nghệ Thông tin và Truyền thông
20130086,20130086,20130086@student.hust.edu.vn,Quách Phí,Thích,1994-03-12,Class: Kỹ thuật môi trường \nInstitute: Viện Khoa học và Công nghệ Môi trường
20130087,20130087,20130087@student.hust.edu.vn,Cấn La,Dũng,1995-05-04,Class: CN-Công nghệ kỹ thuật hóa học \nInstitute: Viện Kỹ thuật Hoá học
20130088,20130088,20130088@student.hust.edu.vn,Giả Trinh,Thất,1994-04-11,Class: Tiếng Anh KHKT và công nghệ \nInstitute: Viện Ngoại ngữ
20130089,20130089,20130089@student.hust.edu.vn,Cấn Tịnh,Phát,1995-11-27,Class: Kỹ thuật hóa học \nInstitute: Viện Kỹ thuật Hoá học
20130090,20130090,20130090@student.hust.edu.vn,Quản Đan,Dự,1995-05-19,Class: Kỹ thuật thực phẩm \nInstitute: Viện Công nghệ Sinh học và công nghệ Thực phẩm
20130091,20130091,20130091@student.hust.edu.vn,Từ Hóa,Tăng,1995-07-10,Class: Sư phạm kỹ thuật công nghiệp \nInstitute: Viện Sư phạm Kỹ thuật
20130092,20130092,20130092@student.hust.edu.vn,Phí Nhiên,Bích,1994-12-24,Class: CN-Công nghệ kỹ thuật cơ điện tử \nInstitute: Viện cơ khí
20130093,20130093,20130093@student.hust.edu.vn,Kim Chanh,Trịnh,1995-11-07,Class: CN-Công nghệ chế tạo máy \nInstitute: Viện cơ khí
20130094,20130094,20130094@student.hust.edu.vn,Thân Thành,Tử,1994-01-11,Class: Kỹ thuật vật liệu \nInstitute: Viện Khoa học và Kỹ thuật Vật liệu
20130095,20130095,20130095@student.hust.edu.vn,Từ Quỳnh,Quy,1994-11-28,Class: CN-Công nghệ kỹ thuật ô tô \nInstitute: Viện Cơ khí Động lực
20130096,20130096,20130096@student.hust.edu.vn,Tống Loan,Hạnh,1994-11-13,Class: Kỹ thuật vật liệu \nInstitute: Viện Khoa học và Kỹ thuật Vật liệu
20130097,20130097,20130097@student.hust.edu.vn,Châu Thánh,Huy,1994-05-02,Class: Kỹ thuật điện tử - viễn thông \nInstitute: Viện Điện tử - Viễn thông
20130098,20130098,20130098@student.hust.edu.vn,Chử Duyên,Tư,1994-12-22,Class: Tiếng Anh chuyên nghiệp quốc tế \nInstitute: Viện Ngoại ngữ
20130099,20130099,20130099@student.hust.edu.vn,Bửu Thu,Luyện,1995-12-12,Class: Tiếng Anh chuyên nghiệp quốc tế \nInstitute: Viện Ngoại ngữ
20130100,20130100,20130100@student.hust.edu.vn,Đồng Chung,Luyến,1994-07-20,Class: CN-Công nghệ thực phẩm \nInstitute: Viện Công nghệ Sinh học và công nghệ Thực phẩm
20130101,20130101,20130101@student.hust.edu.vn,Cù Quan,Nga,1993-06-20,Class: Kỹ thuật hạt nhân \nInstitute: Viện Kỹ thuật Hạt nhân và Vật lý Môi trường
20130102,20130102,20130102@student.hust.edu.vn,Lâm Mai,Trịnh,1993-07-11,Class: Kỹ thuật nhiệt \nInstitute: Viện Khoa học và Công nghệ Nhiệt Lạnh
20130103,20130103,20130103@student.hust.edu.vn,Giả Thạch,Kha,1993-03-29,Class: CN-Công nghệ kỹ thuật điện \nInstitute: Viện Điện
20130104,20130104,20130104@student.hust.edu.vn,Lữ Cương,Nam,1995-04-18,Class: Quản lý công nghiệp \nInstitute: Viện Kinh tế & Quản lý
20130105,20130105,20130105@student.hust.edu.vn,Giang Khải,Bích,1993-04-08,Class: Kỹ thuật cơ điện tử \nInstitute: Viện cơ khí
20130106,20130106,20130106@student.hust.edu.vn,Hồng Hinh,Hiển,1994-02-14,Class: Quản trị kinh doanh \nInstitute: Viện Kinh tế & Quản lý
20130107,20130107,20130107@student.hust.edu.vn,Quản Quảng,Nhàn,1995-01-15,Class: Kế toán \nInstitute: Viện Kinh tế & Quản lý
20130108,20130108,20130108@student.hust.edu.vn,Hạ Đào,Khang,1993-07-16,Class: Kế toán \nInstitute: Viện Kinh tế & Quản lý
20130109,20130109,20130109@student.hust.edu.vn,Ân Bảo,Pháp,1994-11-15,Class: Kỹ thuật thực phẩm \nInstitute: Viện Công nghệ Sinh học và công nghệ Thực phẩm
20130110,20130110,20130110@student.hust.edu.vn,Cung Khang,Thể,1993-02-09,Class: Vật lý kỹ thuật \nInstitute: Viện Vật lý kỹ thuật
20130111,20130111,20130111@student.hust.edu.vn,Trà Chi,Thành,1994-11-27,Class: Hệ thống thông tin quản lý \nInstitute: Viện Toán ứng dụng và Tin học
20130112,20130112,20130112@student.hust.edu.vn,Biện Hiệp,Khải,1995-10-31,Class: CN-Công nghệ kỹ thuật điều khiển và tự động hóa \nInstitute: Viện Điện
20130113,20130113,20130113@student.hust.edu.vn,Ánh Chính,Thy,1995-11-29,Class: Kỹ thuật vật liệu \nInstitute: Viện Khoa học và Kỹ thuật Vật liệu
20130114,20130114,20130114@student.hust.edu.vn,Văn Chung,Mạc,1994-04-09,Class: Hệ thống thông tin \nInstitute: Viện Công nghệ Thông tin và Truyền thông
20130115,20130115,20130115@student.hust.edu.vn,Từ Cương,Chuẩn,1995-12-23,Class: Kỹ thuật ô tô \nInstitute: Viện Cơ khí Động lực
20130116,20130116,20130116@student.hust.edu.vn,Kim Linh,Bằng,1993-03-05,Class: Kế toán \nInstitute: Viện Kinh tế & Quản lý
20130117,20130117,20130117@student.hust.edu.vn,Danh Thanh,Đại,1995-08-02,Class: CN-Công nghệ kỹ thuật ô tô \nInstitute: Viện Cơ khí Động lực
20130118,20130118,20130118@student.hust.edu.vn,Phó Thức,Thoại,1994-04-17,Class: Kỹ thuật tàu thủy \nInstitute: Viện Cơ khí Động lực
20130119,20130119,20130119@student.hust.edu.vn,Thạch Bé,Thắng,1993-02-28,Class: CN-Công nghệ kỹ thuật hóa học \nInstitute: Viện Kỹ thuật Hoá học
20130120,20130120,20130120@student.hust.edu.vn,Lô Trị,Hùng,1994-06-05,Class: CN-Công nghệ kỹ thuật điện \nInstitute: Viện Điện
20130121,20130121,20130121@student.hust.edu.vn,Bạch Hoạch,Thương,1995-06-04,Class: Kỹ thuật vật liệu \nInstitute: Viện Khoa học và Kỹ thuật Vật liệu
20130122,20130122,20130122@student.hust.edu.vn,Bá Bá,Địch,1994-09-07,Class: Tài chính-Ngân hàng \nInstitute: Viện Kinh tế & Quản lý
20130123,20130123,20130123@student.hust.edu.vn,Bàng Hoàng,Năm,1994-01-09,Class: Kỹ thuật dệt \nInstitute: Viện Dệt may - Da giầy và Thời trang
20130124,20130124,20130124@student.hust.edu.vn,Ấu Hiên,Mịch,1995-08-08,Class: Kỹ thuật cơ khí \nInstitute: Viện cơ khí
20130125,20130125,20130125@student.hust.edu.vn,Giả Tuấn,Kiều,1995-04-12,Class: Kỹ thuật tàu thủy \nInstitute: Viện Cơ khí Động lực
20130126,20130126,20130126@student.hust.edu.vn,Lương Công,Nữ,1995-05-04,Class: Quản lý công nghiệp \nInstitute: Viện Kinh tế & Quản lý
20130127,20130127,20130127@student.hust.edu.vn,Biện Nhạn,Đường,1993-08-29,Class: CN-Công nghệ kỹ thuật điều khiển và tự động hóa \nInstitute: Viện Điện
20130128,20130128,20130128@student.hust.edu.vn,Thân Cảnh,Thoại,1995-10-19,Class: Công nghệ may \nInstitute: Viện Dệt may - Da giầy và Thời trang
20130129,20130129,20130129@student.hust.edu.vn,Xa Bắc,Hiếu,1994-09-04,Class: Kỹ thuật sinh học / Công nghệ sinh học \nInstitute: Viện Công nghệ Sinh học và công nghệ Thực phẩm
20130130,20130130,20130130@student.hust.edu.vn,Nghiêm Thể,Hà,1994-03-12,Class: Kỹ thuật hóa học \nInstitute: Viện Kỹ thuật Hoá học
20130131,20130131,20130131@student.hust.edu.vn,Thạch Doãn,Trinh,1993-04-14,Class: Hệ thống thông tin quản lý \nInstitute: Viện Toán ứng dụng và Tin học
20130132,20130132,20130132@student.hust.edu.vn,Uông Phí,Bình,1994-12-19,Class: CN-Công nghệ kỹ thuật điều khiển và tự động hóa \nInstitute: Viện Điện
20130133,20130133,20130133@student.hust.edu.vn,Bửu Lãnh,Chi,1995-05-12,Class: Quản lý công nghiệp \nInstitute: Viện Kinh tế & Quản lý
20130134,20130134,20130134@student.hust.edu.vn,Trình Mạch,Đảm,1995-04-05,Class: Kỹ thuật hóa học \nInstitute: Viện Kỹ thuật Hoá học
20130135,20130135,20130135@student.hust.edu.vn,Trình Kiên,Thơ,1995-11-22,Class: Kỹ thuật sinh học / Công nghệ sinh học \nInstitute: Viện Công nghệ Sinh học và công nghệ Thực phẩm
20130136,20130136,20130136@student.hust.edu.vn,Lã Bằng,Thường,1993-11-02,Class: Kỹ thuật hóa học \nInstitute: Viện Kỹ thuật Hoá học
20130137,20130137,20130137@student.hust.edu.vn,Tiêu Duyên,Chính,1993-08-08,Class: CN-Công nghệ kỹ thuật hóa học \nInstitute: Viện Kỹ thuật Hoá học
20130138,20130138,20130138@student.hust.edu.vn,Trà Hương,Toàn,1993-04-15,Class: CN-Công nghệ kỹ thuật ô tô \nInstitute: Viện Cơ khí Động lực
20130139,20130139,20130139@student.hust.edu.vn,Chung Thành,Luyến,1993-10-24,Class: Hệ thống thông tin \nInstitute: Viện Công nghệ Thông tin và Truyền thông
20130140,20130140,20130140@student.hust.edu.vn,Lại Ưng,Hiển,1994-02-19,Class: Truyền thông và mạng máy tính \nInstitute: Viện Công nghệ Thông tin và Truyền thông
20130141,20130141,20130141@student.hust.edu.vn,Nhậm Trương,Đôn,1995-02-25,Class: Kỹ thuật in \nInstitute: Viện Kỹ thuật Hoá học
20130142,20130142,20130142@student.hust.edu.vn,Tăng Hạnh,2 Thanh,1994-10-19,Class: Kỹ thuật dệt \nInstitute: Viện Dệt may - Da giầy và Thời trang
20130143,20130143,20130143@student.hust.edu.vn,Đậu Tư,Dung,1995-05-27,Class: Kỹ thuật phần mềm \nInstitute: Viện Công nghệ Thông tin và Truyền thông
20130144,20130144,20130144@student.hust.edu.vn,Trịnh Lợi,Thường,1995-10-19,Class: Sư phạm kỹ thuật công nghiệp \nInstitute: Viện Sư phạm Kỹ thuật
20130145,20130145,20130145@student.hust.edu.vn,Trương Chí,Khải,1993-06-22,Class: CN-Công nghệ kỹ thuật ô tô \nInstitute: Viện Cơ khí Động lực
20130146,20130146,20130146@student.hust.edu.vn,Thi Ân,Huynh,1995-09-09,Class: Kỹ thuật điện tử - viễn thông \nInstitute: Viện Điện tử - Viễn thông
20130147,20130147,20130147@student.hust.edu.vn,Mai Lộc,Đích,1995-01-26,Class: Kỹ thuật hạt nhân \nInstitute: Viện Kỹ thuật Hạt nhân và Vật lý Môi trường
20130148,20130148,20130148@student.hust.edu.vn,Nhâm Truyền,Lan,1994-08-01,Class: Kỹ thuật hạt nhân \nInstitute: Viện Kỹ thuật Hạt nhân và Vật lý Môi trường
20130149,20130149,20130149@student.hust.edu.vn,Trưng Phong,Thuận,1994-01-20,Class: Kỹ thuật tàu thủy \nInstitute: Viện Cơ khí Động lực
20130150,20130150,20130150@student.hust.edu.vn,Đổng Đỗ,Phí,1994-09-26,Class: CN-Công nghệ kỹ thuật điện tử - viễn thông \nInstitute: Viện Điện tử - Viễn thông
20130151,20130151,20130151@student.hust.edu.vn,Lưu Sương,Chung,1995-04-14,Class: Kỹ thuật cơ khí \nInstitute: Viện cơ khí
20130152,20130152,20130152@student.hust.edu.vn,Khu Tượng,Minh,1993-01-15,Class: CN-Công nghệ chế tạo máy \nInstitute: Viện cơ khí
20130153,20130153,20130153@student.hust.edu.vn,Kiều Chúng,Doãn,1994-10-24,Class: Kỹ thuật máy tính \nInstitute: Viện Công nghệ Thông tin và Truyền thông
20130154,20130154,20130154@student.hust.edu.vn,Nhiệm Tuấn,Dự,1994-07-10,Class: Kỹ thuật điều khiển và tự động hóa \nInstitute: Viện Điện
20130155,20130155,20130155@student.hust.edu.vn,Đàm Thị,Phi,1995-02-15,Class: Kỹ thuật điều khiển và tự động hóa \nInstitute: Viện Điện
20130156,20130156,20130156@student.hust.edu.vn,Cấn Đỗ,Khải,1994-10-13,Class: Quản lý công nghiệp \nInstitute: Viện Kinh tế & Quản lý
20130157,20130157,20130157@student.hust.edu.vn,Hoa Đằng,Khâu,1995-07-02,Class: Kỹ thuật điện \nInstitute: Viện Điện
20130158,20130158,20130158@student.hust.edu.vn,Đào Luận,Thường,1993-08-21,Class: Hệ thống thông tin quản lý \nInstitute: Viện Toán ứng dụng và Tin học
20130159,20130159,20130159@student.hust.edu.vn,Cầm Điệp,Đảm,1993-01-07,Class: Sư phạm kỹ thuật công nghiệp \nInstitute: Viện Sư phạm Kỹ thuật
20130160,20130160,20130160@student.hust.edu.vn,Tôn Hậu,Kỳ,1993-12-06,Class: Kỹ thuật tàu thủy \nInstitute: Viện Cơ khí Động lực
20130161,20130161,20130161@student.hust.edu.vn,Điền Tài,Bình,1993-06-19,Class: Kỹ thuật phần mềm \nInstitute: Viện Công nghệ Thông tin và Truyền thông
20130162,20130162,20130162@student.hust.edu.vn,Viên Ngô,Tế,1995-03-30,Class: CN-Công nghệ chế tạo máy \nInstitute: Viện cơ khí
20130163,20130163,20130163@student.hust.edu.vn,Khu Diệu,Chinh,1994-11-12,Class: Truyền thông và mạng máy tính \nInstitute: Viện Công nghệ Thông tin và Truyền thông
20130164,20130164,20130164@student.hust.edu.vn,Hàn Giao,Khanh,1993-09-06,Class: Kỹ thuật cơ điện tử \nInstitute: Viện cơ khí
20130165,20130165,20130165@student.hust.edu.vn,La Hà,Thùy,1995-10-28,Class: Kỹ thuật phần mềm \nInstitute: Viện Công nghệ Thông tin và Truyền thông
